,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Luohe,33.57,114.04,298.35,89,0,2.04,CN
1,Lagoa,39.05,-27.98,296.63,86,100,11.79,PT
2,Maniitsoq,65.42,-52.9,282.12,65,0,4.94,GL
3,Ushuaia,-54.8,-68.3,274.15,84,75,14.4,AR
4,Jamestown,42.1,-79.24,294.82,77,90,5.1,US
5,Manjacaze,-24.71,33.88,293.45,70,91,6.57,MZ
6,Vaini,-21.2,-175.2,292.15,88,75,4.6,TO
7,Arraial do Cabo,-22.97,-42.03,298.15,78,75,4.1,BR
8,Tuktoyaktuk,69.45,-133.04,284.15,87,90,3.1,CA
9,Santa Marta,11.24,-74.2,303.15,84,75,3.6,CO
10,Norman Wells,65.28,-126.83,288.15,72,75,5.1,CA
11,Baykit,61.67,96.37,281.18,72,66,1.38,RU
12,Sorokino,53.75,84.92,286.58,91,0,2.05,RU
13,Port Elizabeth,-33.92,25.57,283.15,81,57,7.7,ZA
14,Atuona,-9.8,-139.03,298.6,76,1,7.98,PF
15,Airai,-8.93,125.41,286.39,74,0,0.98,TL
16,Avilés,43.55,-5.92,294.26,82,40,2.6,ES
17,Dikson,73.51,80.55,279.27,91,87,5.78,RU
18,Prudentópolis,-25.21,-50.98,291.31,94,44,1.72,BR
19,Albany,42.6,-73.97,297.59,72,100,3.42,US
20,Mataura,-46.19,168.86,275.93,97,67,0.45,NZ
21,Tiksi,71.69,128.87,277.71,82,0,1.98,RU
22,Pimentel,-6.84,-79.93,295.15,60,63,9.8,PE
23,Yellowknife,62.46,-114.35,288.71,62,75,4.1,CA
24,Chapais,49.78,-74.85,299.15,41,20,6.2,CA
25,Laas,46.62,10.7,290.15,100,40,4.6,IT
26,Lima,-12.04,-77.03,291.15,72,90,3.6,PE
27,Leningradskiy,69.38,178.42,281.16,86,100,2.45,RU
28,George Town,5.41,100.34,299.15,88,40,1.0,MY
29,Marsh Harbour,26.54,-77.06,302.65,67,66,1.28,BS
30,Rikitea,-23.12,-134.97,294.4,79,0,6.06,PF
31,Mortka,59.33,66.02,286.03,97,100,4.17,RU
32,Fort Nelson,58.81,-122.7,290.15,77,90,2.1,CA
33,Punta Arenas,-53.15,-70.92,277.15,64,20,9.3,CL
34,Barrow,71.29,-156.79,277.15,93,90,5.7,US
35,Cedral,23.8,-100.73,300.46,30,99,4.95,MX
36,Port-Gentil,-0.72,8.78,297.15,94,90,6.52,GA
37,Pāthardi,19.17,75.18,296.53,86,100,6.22,IN
38,Ponta Delgada,37.73,-25.67,297.15,83,75,7.7,PT
39,Bogovarovo,58.98,47.02,283.28,81,99,2.17,RU
40,Leh,34.17,77.58,292.76,25,0,2.2,IN
41,Siaya,0.06,34.29,296.15,78,70,2.1,KE
42,Zabaykal'sk,49.63,117.32,288.26,91,100,1.54,RU
43,Capreol,46.71,-80.92,293.71,82,75,3.1,CA
44,Cherskiy,68.75,161.3,278.32,80,97,5.82,RU
45,Biak,-0.91,122.88,296.45,85,99,4.43,ID
46,Nieves,15.33,120.95,297.34,93,92,0.82,PH
47,Butaritari,3.07,172.79,300.72,66,100,1.67,KI
48,Havre-St-Pierre,50.23,-63.6,295.15,53,1,4.1,CA
49,Mwanza,-2.52,32.9,295.15,83,20,2.17,TZ
50,Taoudenni,22.68,-3.98,316.38,6,0,5.03,ML
51,New Norfolk,-42.78,147.06,284.26,90,100,0.45,AU
52,Beringovskiy,63.05,179.32,284.42,83,100,4.29,RU
53,Kaitangata,-46.28,169.85,279.82,84,65,1.64,NZ
54,Khatanga,71.97,102.5,286.42,93,96,1.93,RU
55,Marabu,4.41,114.01,298.15,94,40,1.5,MY
56,Salamanca,40.83,-6.0,295.93,46,0,0.89,ES
57,Russell,32.35,-85.2,306.15,49,20,4.6,US
58,Ericeira,38.96,-9.42,294.26,77,75,3.6,PT
59,Oddur,4.12,43.89,296.37,69,62,7.96,SO
60,Kapaa,22.08,-159.32,300.93,94,90,6.2,US
61,Saposoa,-6.93,-76.77,309.15,41,40,3.1,PE
62,Castro,-24.79,-50.01,289.72,88,99,4.11,BR
63,Øksfjord,70.24,22.35,282.15,87,75,10.8,NO
64,Tocopilla,-22.09,-70.2,290.58,49,19,3.11,CL
65,Saint-Philippe,-21.36,55.77,292.15,72,43,3.1,RE
66,Wadi Maliz,36.47,8.55,302.15,62,40,1.13,TN
67,Rhodes,36.44,28.22,301.15,58,0,6.7,GR
68,Sivas Province,39.79,37.0,283.15,81,0,4.1,TR
69,Archidona,37.1,-4.39,303.71,26,0,2.3,ES
70,Nuuk,64.18,-51.72,284.15,50,0,3.6,GL
71,Samaná,19.21,-69.34,306.15,75,20,4.1,DO
72,Bredasdorp,-34.53,20.04,281.15,75,100,2.1,ZA
73,Östersund,63.18,14.64,287.15,54,0,3.1,SE
74,Hofn,64.25,-15.21,285.85,76,38,1.36,IS
75,Nikolskoye,59.7,30.79,292.15,82,20,3.0,RU
76,Katsuura,35.13,140.3,301.15,94,75,2.1,JP
77,Carballo,43.21,-8.69,291.15,93,75,3.1,ES
78,Kamenka,51.32,42.77,288.15,78,0,0.89,RU
79,Bengkulu,-3.8,102.27,297.58,86,72,1.86,ID
80,Ponta do Sol,32.67,-17.1,298.15,57,20,4.6,PT
81,Kroya,-7.63,109.25,296.94,88,2,2.36,ID
82,Comodoro Rivadavia,-45.87,-67.5,284.15,25,20,8.7,AR
83,Pemangkat,1.17,108.97,298.3,85,66,1.81,ID
84,Lydenburg,-25.1,30.46,279.26,9,6,2.13,ZA
85,Busselton,-33.65,115.33,280.37,82,88,6.76,AU
86,Peñal,10.17,-61.47,302.04,85,78,3.35,TT
87,Pascagoula,30.37,-88.56,308.15,47,40,3.1,US
88,Dingli,35.86,14.38,302.15,62,0,2.1,MT
89,Guerrero Negro,27.98,-114.06,304.72,45,38,6.37,MX
90,Constitución,-35.33,-72.42,285.23,59,90,7.72,CL
91,Mehamn,71.04,27.85,282.15,81,75,8.7,NO
92,Kingaroy,-26.53,151.83,275.15,100,0,2.1,AU
93,Bluff,-46.6,168.33,275.93,97,76,0.45,NZ
94,Lumeje,-11.55,20.78,294.48,22,0,1.96,AO
95,Sechura,-5.56,-80.82,296.72,55,64,7.29,PE
96,Iqaluit,63.75,-68.51,281.15,87,75,8.7,CA
97,Ribeira Grande,38.52,-28.7,297.15,88,40,7.7,PT
98,Taldan,53.67,124.8,283.62,98,99,0.79,RU
99,Port Alfred,-33.59,26.89,284.45,64,13,7.08,ZA
100,Nakusp,50.25,-117.8,300.93,49,0,0.89,CA
101,Geraldton,-28.77,114.6,287.15,71,75,6.2,AU
102,Saint-Joseph,-21.37,55.62,292.15,72,22,3.1,RE
103,Ancud,-41.87,-73.82,284.26,70,75,1.5,CL
104,Saldanha,-33.01,17.94,283.15,81,69,0.5,ZA
105,Bogandinskiy,56.89,65.89,288.15,93,20,2.0,RU
106,Ust-Nera,64.57,143.2,277.81,69,0,2.75,RU
107,Upernavik,72.79,-56.15,278.51,66,0,3.3,GL
108,Hong Kong,22.29,114.16,302.04,79,4,2.24,HK
109,Qaanaaq,77.48,-69.36,278.3,65,0,1.4,GL
110,Petropavlovsk-Kamchatskiy,53.05,158.65,282.15,100,40,2.0,RU
111,Mar del Plata,-38.0,-57.56,288.71,58,59,9.3,AR
112,Cape Town,-33.93,18.42,283.71,81,99,2.6,ZA
113,Hilo,19.73,-155.09,301.15,65,20,3.1,US
114,Pangnirtung,66.15,-65.71,284.15,76,90,8.7,CA
115,Pathein,16.78,94.73,298.65,92,100,2.91,MM
116,Tadine,-21.55,167.88,294.69,87,96,5.96,NC
117,Ibrā’,22.69,58.53,304.74,46,97,2.67,OM
118,Ahipara,-35.17,173.17,284.51,76,92,4.83,NZ
119,Malbork,54.04,19.03,295.37,64,3,2.1,PL
120,El Porvenir,13.76,-87.35,300.15,65,75,2.1,HN
121,Hobart,-42.88,147.33,284.26,93,90,3.6,AU
122,Tall Kayf,37.08,41.07,301.15,13,0,3.1,TR
123,Lata,40.16,-8.33,293.71,86,73,0.45,PT
124,Egvekinot,66.32,-179.17,282.55,80,100,2.14,RU
125,Oranjemund,-28.55,16.43,285.44,68,0,10.2,NA
126,Kavieng,-2.57,150.8,300.78,78,50,4.76,PG
127,Talnakh,69.49,88.4,288.15,54,99,4.0,RU
128,Davidson,36.15,-86.78,305.15,52,75,3.6,US
129,Omsukchan,62.53,155.8,280.15,70,0,3.75,RU
130,Hualmay,-11.1,-77.61,291.87,67,6,5.06,PE
131,Husavik,66.04,-17.34,290.15,63,84,4.1,IS
132,Adilabad,19.67,78.53,297.1,91,100,6.91,IN
133,Naze,28.37,129.48,300.15,94,40,1.0,JP
134,São José da Coroa Grande,-8.9,-35.15,297.88,80,30,4.5,BR
135,Thinadhoo,0.53,72.93,302.17,68,100,2.17,MV
136,Carnarvon,-24.87,113.63,284.15,100,90,2.6,AU
137,Praia,14.92,-23.51,302.15,70,20,5.7,CV
138,Ilulissat,69.22,-51.1,278.15,60,0,2.6,GL
139,Thompson,55.74,-97.86,290.15,63,75,7.7,CA
140,Bilibino,68.05,166.44,278.65,85,100,3.27,RU
141,Tahe,52.33,124.73,284.83,94,94,0.94,CN
142,Richards Bay,-28.78,32.04,289.74,57,98,3.11,ZA
143,Tura,25.52,90.22,297.16,98,100,2.79,IN
144,Perth,-31.93,115.83,286.15,87,75,4.1,AU
145,Tasiilaq,65.61,-37.64,279.15,93,100,4.1,GL
146,Saint-Pierre,-21.34,55.48,292.15,72,6,3.1,RE
147,Collierville,35.04,-89.66,304.26,62,75,5.7,US
148,Waingapu,-9.66,120.26,296.15,83,5,2.4,ID
149,Mabaruma,8.2,-59.78,303.48,61,99,2.12,GY
150,Cabo San Lucas,22.89,-109.91,307.59,55,20,3.1,MX
151,San Quintín,30.48,-115.95,301.08,50,60,4.83,MX
152,Kruisfontein,-34.0,24.73,283.15,64,99,0.89,ZA
153,Naviraí,-23.07,-54.19,293.97,93,100,2.99,BR
154,Biskamzha,53.45,89.53,285.09,88,100,1.14,RU
155,East London,-33.02,27.91,285.89,58,1,6.63,ZA
156,Port Moresby,-9.44,147.18,292.15,93,20,2.6,PG
157,Lorengau,-2.02,147.27,300.85,78,86,4.5,PG
158,Saint-Leu,-21.15,55.28,292.15,72,10,3.1,RE
159,Puerto Ayora,-0.74,-90.35,297.15,60,51,10.8,EC
160,Bethel,41.37,-73.41,292.15,88,90,3.1,US
161,Vanimo,-2.67,141.3,298.64,84,89,1.93,PG
162,Joshīmath,30.57,79.57,294.19,60,93,0.78,IN
163,Kloulklubed,7.04,134.26,299.15,94,75,2.1,PW
164,Haines Junction,60.75,-137.51,283.26,85,100,1.31,CA
165,Eyl,7.98,49.82,297.81,77,45,10.69,SO
166,Dutse,11.76,9.34,298.88,76,99,3.87,NG
167,Kieta,-6.22,155.63,298.24,79,0,1.61,PG
168,Saint George,37.1,-113.58,315.93,10,1,2.6,US
169,Rawson,-43.3,-65.1,283.91,41,47,11.22,AR
170,Wewak,-3.55,143.63,298.82,86,7,3.5,PG
171,Rome,43.21,-75.46,300.15,51,40,5.1,US
172,Caruray,10.31,119.01,300.22,76,100,2.56,PH
173,Fargo,46.88,-96.79,302.04,51,1,3.6,US
174,Bath,51.38,-2.36,292.04,83,94,0.45,GB
175,Bambous Virieux,-20.34,57.76,295.15,73,75,7.7,MU
176,Narsaq,60.92,-46.05,286.15,47,54,2.6,GL
177,Prince George,53.92,-122.75,298.15,60,1,1.5,CA
178,Alugan,12.22,125.48,298.68,85,98,1.17,PH
179,Lebu,-37.62,-73.65,283.34,82,96,2.43,CL
180,Weligama,5.97,80.42,298.19,89,100,2.91,LK
181,Necochea,-38.55,-58.74,284.82,57,100,5.36,AR
182,Tuatapere,-46.13,167.68,275.93,97,90,0.45,NZ
183,Saskylakh,71.92,114.08,280.57,78,0,0.51,RU
184,Ostrovnoy,68.05,39.51,280.05,82,6,6.6,RU
185,Kamennomostskoye,43.74,43.05,293.15,59,90,2.0,RU
186,Palana,59.12,159.97,283.91,75,14,2.24,RU
187,San Patricio,19.22,-104.7,303.15,74,40,4.03,MX
188,Fortuna,40.6,-124.16,294.26,81,76,0.89,US
189,São Gabriel da Cachoeira,-0.13,-67.09,306.15,63,40,1.5,BR
190,Nanortalik,60.14,-45.24,279.89,71,48,3.66,GL
191,Ziębice,50.6,17.04,296.15,49,89,2.1,PL
192,Moerai,-22.43,-151.33,297.08,85,25,5.89,PF
193,Dwārka,22.24,68.97,301.55,83,100,8.48,IN
194,Oxford,51.75,-1.26,293.15,77,75,2.6,GB
195,Carman,49.5,-98.0,298.71,45,59,2.68,CA
196,Aljezur,37.32,-8.8,296.48,55,0,4.03,PT
197,Prieska,-29.66,22.75,278.29,55,0,0.52,ZA
198,Hermanus,-34.42,19.23,280.37,88,100,1.29,ZA
199,Berdigestyakh,62.1,126.7,279.58,75,87,1.47,RU
200,Caravelas,-17.71,-39.25,297.84,79,0,3.45,BR
201,Båtsfjord,70.63,29.72,282.15,100,75,12.3,NO
202,Yangi Marg`ilon,40.43,71.72,300.15,36,0,3.1,UZ
203,Birjand,32.87,59.22,299.15,26,0,8.2,IR
204,Juneau,58.3,-134.42,285.93,93,90,1.5,US
205,Tabou,4.42,-7.35,297.01,76,21,2.86,CI
206,Belaya Gora,68.53,146.42,277.94,81,81,4.96,RU
207,Asău,46.43,26.4,294.26,73,38,1.0,RO
208,Aykhal,66.0,111.5,283.15,58,82,2.0,RU
209,Chennai,13.09,80.28,302.15,66,75,1.0,IN
210,North Bend,43.41,-124.22,303.71,56,1,2.1,US
211,Cockburn Town,21.46,-71.14,302.15,79,40,4.1,TC
212,Centralia,46.72,-122.95,307.59,36,1,2.1,US
213,Provideniya,64.38,-173.3,285.15,76,100,1.0,RU
214,Belmonte,-15.86,-38.88,298.15,78,75,4.6,BR
215,Singaraja,-8.11,115.09,298.3,72,7,2.14,ID
216,Bundaberg,-24.85,152.35,285.15,62,0,3.6,AU
217,La Ronge,55.1,-105.28,291.15,59,75,5.7,CA
218,Tommot,58.96,126.29,277.82,90,51,1.23,RU
219,Dunedin,-45.87,170.5,279.82,80,74,1.46,NZ
220,Lázaro Cárdenas,17.96,-102.2,303.88,65,0,3.44,MX
